Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance_KM,Distance_m,Max Heart Rate,Commute,Activity Gear,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
137671316,"5 May 2014, 10:26:58",Lunch Run,Run,,1792,1640,5.92,5922.200195,,FALSE,Nike Free 5 Flyknit,13,,13.27999973,,53.5,67.80000305,3.299999952,-0.141838998
138590402,"7 May 2014, 18:42:49",Evening Run,Run,,1017,941,3.15,3151.100098,,FALSE,Nike Free 5 Flyknit,9.199999809,,0,,58.29999924,66,6.199999809,-0.206276998
141143645,"14 May 2014, 19:03:30",Evening Run,Run,,1178,1138,5.72,5728.5,,FALSE,Nike Free 5 Flyknit,19.5,,10.42000008,7.519999981,58,69,5.5,0.050624073
143156108,"19 May 2014, 18:14:56",Evening Run,Run,,1773,1668,6.62,6621.200195,,FALSE,Nike Free 5 Flyknit,10.89999962,,0,33.00166702,53.5,69,9.5,-0.101190001
145476921,"25 May 2014, 16:44:16",Afternoon Run,Run,,1444,1317,5.1,5107.200195,,FALSE,Nike Free 5 Flyknit,12.60000038,,16.42670059,,50.29999924,68.90000153,3.299999952,-0.178179994
159558529,"29 Jun 2014, 13:03:24",Sunday Run,Run,,1946,1936,3.37,3376,,FALSE,Nike Free 5 Flyknit,2.599999905,,0,,58.09999847,66.69999695,4.900000095,-0.195498005
162498256,"1 Jul 2014, 18:52:29",Harrow Park Run,Run,,2013,1996,4.26,4264.899902,,FALSE,Nike Free 5 Flyknit,4.699999809,,0,,58.09999847,67,0,0.063307501
162498258,"4 Jul 2014, 18:23:57",Harrow Park Birthday Run,Run,,1782,1768,4.04,4040.800049,,FALSE,Nike Free 5 Flyknit,3.5,,0,,58.20000076,66.59999847,0,-0.071768001
162498260,"5 Jul 2014, 19:01:40",Harrow Park Run,Run,,1994,1760,4.61,4611,,FALSE,Nike Free 5 Flyknit,3.700000048,,0,,58.20000076,67,0,0.00867491
165279359,"13 Jul 2014, 10:11:35","07/13/2014 Harrow, England, United Kingdom",Run,,1408,1375,3.63,3632.699951,,FALSE,Nike Free 5 Flyknit,3.599999905,,22.12000084,,50.20000076,68.90000153,0,-0.189941004
165279361,"10 Jul 2014, 18:14:13","07/10/2014 Harrow, England, United Kingdom",Run,,1772,1772,5.03,5038.299805,,FALSE,Nike Free 5 Flyknit,3.700000048,,25.90329933,,50.40000153,69,0,0.023817601
